generation,best_fitness,mean_fitness,best_overall
0,0.39240726439774165,0.3143089244935387,0.39240726439774165
1,0.4185216134217902,0.3417422873058368,0.4185216134217902
2,0.42806918476642797,0.3616082080906384,0.42806918476642797
3,0.4591028293216975,0.38174454337632574,0.4591028293216975
4,0.4703212640196088,0.40980070529268275,0.4703212640196088
5,0.4911819080473711,0.42579081749482145,0.4911819080473711
6,0.5294074844928567,0.44371692822157005,0.5294074844928567
7,0.5826736364962646,0.47286108795778226,0.5826736364962646
8,0.5862092925792137,0.4956391045952072,0.5862092925792137
9,0.5963416323208961,0.5174344261753667,0.5963416323208961
10,0.6083162303492499,0.5408519025666318,0.6083162303492499
11,0.6153648306791618,0.5607326358037339,0.6153648306791618
12,0.6461698658784122,0.5750206031032763,0.6461698658784122
13,0.6524840769722585,0.5775786480743658,0.6524840769722585
14,0.6583033592427752,0.5788687040492801,0.6583033592427752
15,0.6707151461392499,0.5879367340306888,0.6707151461392499
16,0.6709651408424891,0.5877078820375322,0.6709651408424891
17,0.6709651408424891,0.6075804728652944,0.6709651408424891
18,0.6729137046438491,0.6008792307555091,0.6729137046438491
19,0.6969532237195492,0.6194457420314128,0.6969532237195492
20,0.6969532237195492,0.6041709285363419,0.6969532237195492
21,0.6996868070559646,0.6257096377876271,0.6996868070559646
22,0.7334436875333958,0.6395373716193953,0.7334436875333958
23,0.739593131405332,0.6338763010892092,0.739593131405332
24,0.739593131405332,0.6427202200372516,0.739593131405332
25,0.739593131405332,0.6360058923040635,0.739593131405332
26,0.739593131405332,0.6424281321151761,0.739593131405332
27,0.739593131405332,0.6430745206752995,0.739593131405332
28,0.739593131405332,0.6246161963381136,0.739593131405332
29,0.739593131405332,0.6299658016709356,0.739593131405332
30,0.7434560452523942,0.6188191020804418,0.7434560452523942
31,0.7434560452523942,0.6157664177346988,0.7434560452523942
32,0.7434560452523942,0.6152307020317955,0.7434560452523942
33,0.7506534304179614,0.6227114155335745,0.7506534304179614
34,0.7506534304179614,0.6246302348806274,0.7506534304179614
35,0.7506534304179614,0.626391345247269,0.7506534304179614
36,0.7506534304179614,0.6434641541745998,0.7506534304179614
37,0.7506534304179614,0.6428604304094001,0.7506534304179614
38,0.7506534304179614,0.6603841428084916,0.7506534304179614
39,0.7506534304179614,0.6447996867470225,0.7506534304179614
40,0.7506534304179614,0.6402875350969905,0.7506534304179614
41,0.766890374217708,0.6439221319620724,0.766890374217708
42,0.7678800017590798,0.6686221996132133,0.7678800017590798
43,0.7751084946119365,0.6582915417835411,0.7751084946119365
44,0.7751084946119365,0.6544919102349569,0.7751084946119365
45,0.7791374596662198,0.6706201207512951,0.7791374596662198
46,0.7791374596662198,0.6690199740940148,0.7791374596662198
47,0.7791374596662198,0.6919546751367717,0.7791374596662198
48,0.7882908536553827,0.6771719545875372,0.7882908536553827
49,0.7953195030598303,0.6888398161811333,0.7953195030598303
50,0.7953195030598303,0.6862516054243946,0.7953195030598303
51,0.8297140202179852,0.6867253685951619,0.8297140202179852
52,0.8297140202179852,0.6740990928862205,0.8297140202179852
53,0.8297140202179852,0.6642663483689093,0.8297140202179852
54,0.8297140202179852,0.6509700099705269,0.8297140202179852
55,0.8297140202179852,0.6437404707992878,0.8297140202179852
56,0.8297140202179852,0.683883482992116,0.8297140202179852
57,0.8297140202179852,0.6682861410523977,0.8297140202179852
58,0.8297140202179852,0.6620483763457562,0.8297140202179852
59,0.8297140202179852,0.6755102034574718,0.8297140202179852
